lvl,arch,debian,redhat
6,aircrack-ng,,
6,armitage,,
6,bettercap,,
6,bettercap-ui,,
6,ettercap,,
6,ettercap-gtk,,
6,foremost,,
6,ghidra,,
6,hashcat,,
6,hexedit,,
6,hydra,,
6,gihdra-desktop,,
6,john,,
6,metasploit,,
6,nmap,,
6,nikto,,
6,radare2,,
6,cutter,,
6,ida-free,,
6,maltego,,
6,scapy,,
6,sleuthkit,,
6,sleuthkit-java,,
6,sqlmap,,
6,wireshark,,
6,wifite,,
6,zaproxy,,
,,,
5,docker,,
5,docker-compose,,
5,ansible,,
,,,
,,,
4,firefox,,
4,brave,,
4,filezilla,,
4,gimp,,
4,discord,,
4,blender,,
4,obs-studio,,
4,thunderbird,,
4,vlc,,
4,virtualbox,,
4,qbittorrent,,
4,masterpdfeditor-free,,
,,,
2,noto-fonts-emoji,,
2,sudo,,
2,jq,,
2,bat,,
2,inxi,,
,,,
,,,
,,,
1,keeweb-desktop-bin,,
1,kdeconnect,,
1,oh-my-zsh-git,,
1,htop,,
1,etcher,,
1,cpupower,,
1,cpupower-gui,,
1,downgrade,,
1,android-tools,,
1,minicom,,
1,vim,,
1,tmux,,
1,tmuxinator,,
1,mutt,,
1,powertop,,
1,prettyping,,
1,net-tools,,
1,ncdu,,
1,pwgen,,
1,neoftech,,
1,seahorse,,
1,ranger-git,,
1,s-tui,,
1,traceroute,,
1,terminator,,
1,tldr,,
1,time,,
1,variety,,
1,timeshift,,
1,xclip,,
1,smartmontools,,
,,,
,,,
,,,
,,,
,,,
,,,
1,optimus-manager,,
1,optimus-manager-qt,,
,,,
,,,
,,,
,,,
,,,
,,,
3,powershell-bin,,
3,php,,
3,nodejs,,
3,zsh,,
3,ruby,,
3,jre8-openjdk,,
3,ipython,,
3,jupyter,,
3,pyton-pip,,
3,jetbrains-toolbox,,
3,npm,,
3,shellcheck,,
3,sagemath-jupyter,,
3,visual-studio-code-bin,,
3,visual-studio-code-insiders-bin,,
